SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
26908,"30351","1","City","Police","2017","Police Helicopter",1,44,,,,,"https://images.brickset.com/sets/images/30351-1.jpg",2786,383
26928,"30352","1","City","Police","2017","Police Car",1,50,,,,,"https://images.brickset.com/sets/images/30352-1.jpg",2967,331
26929,"30353","1","City","Construction","2017","Tractor",1,43,,,,,"https://images.brickset.com/sets/images/30353-1.jpg",973,1009
26906,"30354","1","City","Traffic","2017","Hot Rod",1,38,,,,,"https://images.brickset.com/sets/images/30354-1.jpg",2845,673
27117,"30355","1","City","Jungle","2017","Jungle ATV",1,32,,,,,"https://images.brickset.com/sets/images/30355-1.jpg",1900,630
27302,"40170","1","City","General","2017","Build My City Accessory Set",,100,7.99,9.99,11.99,9.99,"https://images.brickset.com/sets/images/40170-1.jpg",2115,1105
27047,"40175","1","City","Police","2017","City Police Mission Pack",1,48,,,,,"https://images.brickset.com/sets/images/40175-1.jpg",537,885
27295,"40177","1","City","Jungle","2017","City Jungle Explorer Kit",1,40,,,,,"https://images.brickset.com/sets/images/40177-1.jpg",609,1171
26419,"60135","1","City","Police","2017","ATV Arrest",2,47,4.99,6.99,7.99,,"https://images.brickset.com/sets/images/60135-1.jpg",2351,531
26540,"60136","1","City","Police","2017","Police Starter Set",4,80,8.99,9.99,12.99,,"https://images.brickset.com/sets/images/60136-1.jpg",3246,645
26541,"60137","1","City","Police","2017","Tow Truck Trouble",3,144,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/60137-1.jpg",2976,742
26420,"60138","1","City","Police","2017","High-speed Chase",4,294,24.99,39.99,44.99,29.99,"https://images.brickset.com/sets/images/60138-1.jpg",2688,757
26542,"60139","1","City","Police","2017","Mobile Command Center",4,374,39.99,49.99,59.99,39.99,"https://images.brickset.com/sets/images/60139-1.jpg",1861,749
26543,"60140","1","City","Police","2017","Bulldozer Break-In",5,561,64.99,69.99,89.99,,"https://images.brickset.com/sets/images/60140-1.jpg",1830,1250
26652,"60141","1","City","Police","2017","Police Station",7,894,84.99,99.99,129.99,99.99,"https://images.brickset.com/sets/images/60141-1.jpg",2034,1118
