SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
27680,"30540","1","Creator","","2018","Yellow Flyer",,43,,,,,"https://images.brickset.com/sets/images/30540-1.jpg",491,339
27681,"30542","1","Creator","","2018","Cute Pug",,68,3.49,,,3.99,"https://images.brickset.com/sets/images/30542-1.jpg",3444,396
28081,"30543","1","Creator","Seasonal","2018","Christmas Train",,66,,,,,"https://images.brickset.com/sets/images/30543-1.jpg",2578,472
27465,"31071","1","Creator","","2018","Drone Explorer",,109,9.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/31071-1.jpg",1640,443
27466,"31072","1","Creator","","2018","Extreme Engines",,109,9.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/31072-1.jpg",1587,344
27462,"31073","1","Creator","","2018","Mythical Creatures",,223,12.99,14.99,17.99,14.99,"https://images.brickset.com/sets/images/31073-1.jpg",1881,495
27467,"31074","1","Creator","","2018","Rocket Rally Car",,241,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/31074-1.jpg",965,371
27468,"31075","1","Creator","","2018","Outback Adventures",1,225,17.99,19.99,24.99,,"https://images.brickset.com/sets/images/31075-1.jpg",1402,826
27464,"31076","1","Creator","","2018","Daredevil Stunt Plane",1,200,17.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/31076-1.jpg",1619,711
27814,"31077","1","Creator","","2018","Modular Sweet Surprises",3,396,34.99,39.99,49.99,34.99,"https://images.brickset.com/sets/images/31077-1.jpg",1816,1256
28065,"31078","1","Creator","","2018","Tree House Treasures ",2,260,29.99,29.99,39.99,29.99,"https://images.brickset.com/sets/images/31078-1.jpg",1328,1063
27460,"31079","1","Creator","","2018","Sunshine Surfer Van",2,379,24.99,34.99,39.99,29.99,"https://images.brickset.com/sets/images/31079-1.jpg",3409,1464
27461,"31080","1","Creator","Modular","2018","Modular Winter Vacation",2,374,24.99,34.99,44.99,29.99,"https://images.brickset.com/sets/images/31080-1.jpg",1606,1089
27463,"31081","1","Creator","Modular","2018","Modular Skate House",2,422,34.99,39.99,49.99,39.99,"https://images.brickset.com/sets/images/31081-1.jpg",1549,1191
27815,"31083","1","Creator","","2018","Cruising Adventures",3,597,44.99,59.99,79.99,49.99,"https://images.brickset.com/sets/images/31083-1.jpg",1188,1015
27809,"31084","1","Creator","","2018","Pirate Roller Coaster",5,923,69.99,89.99,109.99,79.99,"https://images.brickset.com/sets/images/31084-1.jpg",3026,1993
27816,"31085","1","Creator","","2018","Mobile Stunt Show",2,581,44.99,49.99,64.99,49.99,"https://images.brickset.com/sets/images/31085-1.jpg",600,499
