SetID,Number,Variant,Theme,Subtheme,Year,Name,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,ImageURL,OwnedBy,WantedBy
27668,"30380","1","Star Wars","The Last Jedi","2018","Kylo Ren's Shuttle",,33,,,,,"https://images.brickset.com/sets/images/30380-1.jpg",2365,564
28012,"30381","1","Star Wars","Solo","2018","Imperial TIE Fighter",,42,,,,,"https://images.brickset.com/sets/images/30381-1.jpg",1310,632
28237,"30498","1","Star Wars","Solo","2018","Imperial AT-Hauler",,49,,,,,"https://images.brickset.com/sets/images/30498-1.jpg",1063,471
28031,"40288","1","Star Wars","Promotional","2018","BB-8",,48,,,,,"https://images.brickset.com/sets/images/40288-1.jpg",4499,994
27770,"40298","1","Star Wars","The Last Jedi","2018","DJ",1,22,,,,,"https://images.brickset.com/sets/images/40298-1.jpg",3941,1027
28089,"40299","1","Star Wars","Solo","2018","Kessel Mine Worker",1,22,,,,,"https://images.brickset.com/sets/images/40299-1.jpg",2061,1257
28090,"40300","1","Star Wars","Solo","2018","Han Solo Mudtrooper",1,22,,,,,"https://images.brickset.com/sets/images/40300-1.jpg",3450,1051
28530,"66596","1","Star Wars","Product Collection","2018","Super Pack 2-in-1",,201,,,,,"https://images.brickset.com/sets/images/66596-1.jpg",139,65
28421,"66597","1","Star Wars","Product Collection","2018","2-in-1 Super Pack",,205,,,,,"https://images.brickset.com/sets/images/66597-1.jpg",119,63
27832,"75181","1","Star Wars","Ultimate Collector Series","2018"," Y-wing Starfighter",2,1967,169.99,199.99,249.99,199.99,"https://images.brickset.com/sets/images/75181-1.jpg",3411,2633
27009,"75193","1","Star Wars","MicroFighters","2018","Millennium Falcon Microfighter",1,92,8.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/75193-1.jpg",6262,903
27491,"75194","1","Star Wars","MicroFighters","2018","First Order TIE Fighter Microfighter",1,91,8.99,9.99,12.99,9.99,"https://images.brickset.com/sets/images/75194-1.jpg",4499,905
27494,"75195","1","Star Wars","MicroFighters","2018","Ski Speeder vs. First Order Walker Microfighters",2,216,16.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/75195-1.jpg",4330,958
27495,"75196","1","Star Wars","MicroFighters","2018","A-Wing vs. TIE Silencer Microfighters",2,188,16.99,19.99,24.99,19.99,"https://images.brickset.com/sets/images/75196-1.jpg",4584,1012
27447,"75197","1","Star Wars","The Last Jedi","2018","First Order Specialists Battle Pack",4,108,12.99,14.99,16.99,16.99,"https://images.brickset.com/sets/images/75197-1.jpg",5492,1238
27397,"75198","1","Star Wars","Episode IV","2018","Tatooine Battle Pack",4,97,12.99,14.99,16.99,16.99,"https://images.brickset.com/sets/images/75198-1.jpg",6875,1431
